,Suburb,Unnamed: 1,1996,2001,2006,2013,2018,2020
111,Porirua East,Porirua,"2,180","2,190","2,250","2,170","2,380","2,420"
112,Postgate,Porirua,"2,530","2,470","2,500","2,590","2,860","2,950"
113,Pukerua Bay,Porirua,"1,700","1,750","1,770","1,970","2,040","2,070"
114,Ranui Heights,Porirua,"1,250","1,320","1,410","1,400","1,370","1,380"
115,Riverstone Terraces,Upper Hutt,0,80,680,"1,450","1,850","1,930"
116,Rongotai,Wellington,60,70,60,60,50,40
117,Roseneath,Wellington,"1,700","1,610","1,760","1,790","1,860","1,880"
118,Seatoun,Wellington,"2,050","2,070","2,230","2,300","2,410","2,420"
119,Silverstream,Upper Hutt,"3,310","3,440","3,420","3,360","3,630","3,680"
120,Southgate,Wellington,"1,170","1,190","1,210","1,220","1,200","1,190"
121,Stokes Valley Central,Lower Hutt,"2,120","2,100","2,060","2,130","2,190","2,240"
122,Stokes Valley North,Lower Hutt,"3,270","3,240","3,290","3,430","3,550","3,550"
123,Strathmore (Wellington city),Wellington,"3,650","3,810","3,960","3,830","3,940","3,960"
124,Taita North,Lower Hutt,"2,760","2,980","3,150","2,660","3,240","3,330"
125,Taita South,Lower Hutt,"2,920","2,890","3,170","3,030","3,210","3,290"
126,Takapu-Horokiwi,Wellington,200,250,270,260,280,290
127,Tawa Central,Wellington,"2,330","2,400","2,550","2,680","2,740","2,770"
128,Tawa North,Wellington,"3,010","3,060","3,190","3,100","3,330","3,390"
129,Tawa South,Wellington,"3,460","3,420","3,490","3,410","3,510","3,530"
130,Te Marua,Upper Hutt,870,870,950,990,"1,010","1,020"
131,Thorndon,Wellington,"2,730","3,100","3,630","3,810","4,270","4,320"
132,Tirohanga,Lower Hutt,930,"1,090","1,230","1,210","1,320","1,340"
133,Titahi Bay North,Porirua,"2,400","2,470","2,540","2,560","2,800","2,900"
134,Titahi Bay South,Porirua,"3,390","3,250","3,400","3,700","3,910","4,010"
135,Totara Park,Upper Hutt,"3,120","2,970","2,940","2,970","2,990","3,000"
136,Towai,Lower Hutt,0,0,0,0,0,0
