Farm Cove,"2,540","2,500","2,590","2,650","2,700","2,710"
Favona East,810,"2,070","3,220","3,510","4,070","4,130"
Favona North,"2,260","2,260","2,440","2,690","2,890","2,960"
Favona West,"1,890","2,000","2,300","2,870","3,280","3,540"
Ferguson,"4,420","4,280","4,670","4,270","4,670","4,720"
Forrest Hill East,"3,010","3,090","3,290","3,560","3,700","3,730"
Forrest Hill North,"2,040","2,110","2,280","2,460","2,630","2,660"
Forrest Hill West,"3,250","3,380","3,610","4,030","4,240","4,290"
Freemans Bay,"3,730","3,660","4,040","4,410","4,590","4,600"
Fruitvale,"2,320","2,510","2,830","2,880","3,110","3,200"
Glamorgan,"3,030","2,970","3,170","3,250","3,420","3,490"
Glenavon,"2,080","2,260","2,470","2,950","3,110","3,200"
Glendene North,"3,810","3,960","4,240","4,460","4,930","5,100"
Glendene South,"2,430","2,600","2,720","2,860","3,040","3,100"
Glendowie North,"3,790","3,990","4,240","4,520","4,530","4,520"
Glendowie South,"3,660","3,450","4,090","4,330","4,620","4,750"
Glen Eden Central,"2,770","2,900","3,320","3,460","3,790","4,040"
Glen Eden North,"1,740","1,900","2,200","2,480","2,530","2,690"
Glen Eden Rosier,"2,870","2,950","3,100","3,300","3,710","3,810"
Glen Eden West,"2,800","3,260","3,620","3,760","3,980","4,030"
Glen Eden Woodglen,"3,480","3,640","3,890","4,260","4,450","4,490"
Glenfield Central,"3,390","3,730","3,910","4,100","4,350","4,390"
Glenfield East,"1,840","1,970","2,100","2,220","2,470","2,540"
Glenfield North,"2,610","2,940","3,060","3,240","3,560","3,740"
Glenfield South West,"2,990","3,300","3,450","3,820","4,280","4,380"
Glenfield West,"2,460","2,600","2,710","2,910","3,260","3,300"
Glen Innes East - Wai O Taiki Bay,"3,730","3,840","4,110","3,680","3,610","3,770"
Glen Innes West,"3,610","3,910","4,050","3,760","4,650","5,050"
Golflands,"1,300","2,270","2,500","2,520","2,590","2,600"
Goodwood Heights,"2,010","3,340","4,050","4,280","4,660","4,760"
Grafton,"1,830","1,740","1,840","1,980","1,800","1,700"
Grange,"2,020","1,980","1,890","1,950","2,330","2,630"
Green Bay North,"1,640","1,700","1,750","1,740","1,850","1,950"
Green Bay South,"2,300","2,450","2,790","3,040","3,110","3,080"
Greenhithe East,310,500,"1,940","2,970","3,260","3,300"
Greenhithe South,790,990,"1,120","1,480","2,100","2,150"
Greenhithe West,"2,330","2,780","3,140","3,640","3,640","3,600"
Greenlane North,"3,610","3,820","4,230","4,490","4,640","4,620"
Greenlane South,"2,850","3,210","3,260","3,500","3,810","3,920"
Grey Lynn Central,"3,540","3,460","3,520","3,490","3,710","3,790"
Grey Lynn East,"1,200","1,410","1,450","1,740","2,000","2,050"
Grey Lynn North,"2,950","3,120","3,090","3,230","3,210","3,170"
Grey Lynn West,"2,940","2,730","2,760","2,930","3,270","3,340"
Half Moon Bay North East,"2,000","1,970","2,100","2,240","2,260","2,290"
Half Moon Bay South East,"2,610","2,600","2,940","3,120","3,340","3,380"
Half Moon Bay West,"2,790","2,680","2,750","2,950","2,960","2,950"
Harania North,"4,050","4,050","4,000","3,850","4,010","4,050"
Harania South,"2,990","3,180","3,220","3,250","3,570","3,680"
Hauraki,"3,600","3,750","4,000","4,190","4,310","4,360"
Henderson Central,390,510,780,"1,170","1,310","1,430"
Henderson East,"2,470","2,130","2,330","2,760","3,010","3,100"
Henderson Larnoch,"3,250","3,530","3,680","4,040","4,440","4,580"
Henderson Lincoln East,350,400,330,320,150,150
Henderson Lincoln South,"1,610","2,200","2,270","2,410","2,700","2,790"
Henderson Lincoln West,"2,340","2,820","2,930","3,140","3,420","3,550"
Henderson North,"2,490","2,760","3,210","3,570","4,000","4,310"
Henderson North East,"2,330","2,430","2,470","2,520","2,800","2,850"
Henderson Valley Park,"1,510","1,640","1,800","1,890","2,020","2,120"
Herne Bay,"3,140","3,160","3,120","3,080","3,120","3,110"
Highland Park,"4,010","4,150","4,390","4,530","4,760","4,850"
Hillcrest East,"3,510","3,710","3,840","3,850","4,130","4,190"
Hillcrest North,"2,640","2,860","3,170","3,400","3,590","3,690"
Hillcrest West,"2,910","2,930","3,070","3,100","3,400","3,500"
Hillpark North,"1,980","2,030","2,160","2,310","2,560","2,690"
Hillpark South,"2,450","2,470","2,650","2,980","3,380","3,760"
Hillsborough East,"1,610","1,770","1,950","2,120","2,550","2,670"
Hillsborough North,"2,670","3,060","3,440","3,520","3,960","4,040"
Hillsborough South,"2,330","2,400","2,570","2,620","2,890","2,900"
Hillsborough West,"2,580","2,850","3,210","3,560","3,800","3,890"
Hilltop,920,"1,570","1,910","2,480","3,650","4,050"
Hingaia,480,540,490,"1,120","2,290","2,500"
Hobson Ridge Central,260,270,"1,870","3,390","4,190","4,200"
Hobson Ridge North,460,770,"1,970","2,430","2,720","2,620"
Hobson Ridge South,90,520,"1,020","1,680","2,160","2,170"
Hobsonville,510,730,800,810,"1,230","1,300"
Hobsonville Point,"1,220",960,840,850,"4,020","6,970"
Homai East,"2,270","2,430","2,710","2,950","3,610","3,910"
Homai West,"3,650","3,800","3,920","3,970","4,830","5,540"
Howick Central,"2,460","2,650","3,080","3,450","3,530","3,630"
Howick East,"2,680","2,950","3,240","3,570","3,770","3,860"
Howick West,"3,560","3,670","3,930","4,010","4,260","4,330"
Huntington Park,20,640,"1,940","2,100","2,000","1,960"
Karaka Lakes,180,170,170,660,"2,300","2,650"
Karangahape,470,940,"1,520","1,890","2,480","2,540"
Kaurilands,"2,800","2,970","3,100","3,200","3,290","3,280"
Kelston North,"2,320","2,460","2,560","2,710","2,930","3,000"
Kelston South,"1,930","2,110","2,360","2,490","2,750","2,800"
Kingsland,"3,070","2,930","3,140","3,360","3,580","3,680"
Kohimarama,"3,770","4,010","4,230","4,350","4,510","4,570"
Konini,"3,350","3,420","3,530","3,680","3,690","3,640"
Laingholm,"2,290","2,360","2,420","2,370","2,460","2,450"
Leabank,"3,420","3,510","3,680","3,930","4,570","4,750"
Long Bay,160,160,150,190,"1,460","2,280"
Lynfield North,"2,260","2,440","2,720","2,910","3,250","3,820"
Lynfield South,"3,970","4,050","4,250","4,340","4,710","4,830"
