West Harbour Clearwater Cove,"3,300","3,890","4,260","4,310","4,560","4,550"
West Harbour Luckens Point,"1,860","2,490","2,790","2,840","2,830","2,780"
West Harbour West,"4,370","4,410","4,350","4,330","4,530","4,570"
Westlake,"2,340","2,400","2,650","2,950","3,120","3,110"
West Lynn,"2,620","2,720","2,870","3,020","3,290","3,360"
Westmere North,"1,990","2,150","2,260","2,410","2,400","2,380"
Westmere South-Western Springs,"2,620","2,810","2,940","3,200","3,190","3,170"
Weymouth East,"1,280","1,770","3,320","3,510","3,930","4,240"
Weymouth North,"2,320","2,870","3,450","3,560","5,190","5,430"
Weymouth South,"2,510","2,650","3,050","3,220","3,710","3,850"
Whenuapai,"3,820","3,710","3,800","3,930","4,130","4,640"
Windsor Park,790,"1,100","1,580","1,710","1,780","1,770"
Wiri East,"3,360","3,630","3,840","3,750","4,380","5,010"
Wiri West,220,180,260,390,"1,230","1,310"
Wynyard-Viaduct,50,240,750,"1,020","1,110","1,170"
Auckland,"977,000","1,063,500","1,195,700","1,292,900","1,420,600","1,470,120"
