Suburb,Population,latitude,longitude
Kingsland,"3,680",-36.871366799999976,174.7418163000001
Kohimarama,"4,570",-36.85725985999994,174.84097833500005
Konini,"3,640",-36.92819999999995,174.64019000000008
Laingholm,"2,450",-36.963994353999965,174.63005305700005
Leabank,"4,750",-36.84837877599995,174.76438177700004
Long Bay,"2,280",-36.738189999999975,175.4702000000001
Lynfield North,"3,820",-36.92253413839335,174.71588960563562
Lynfield South,"4,830",-36.92253413839335,174.71588960563562
Mairangi Bay North,"3,150",-36.74104802099998,174.74754613400012
Mairangi Bay South,"2,910",-36.74104802099998,174.74754613400012
Mangere Bridge,"3,260",-36.93819999999994,174.77019000000007
Mangere Bridge Ambury,"3,630",-36.93819999999994,174.77019000000007
Mangere Central,"3,910",-36.952113336000494,174.83802000679063
Mangere East,"4,370",-36.96622666999997,174.82361993500012
Mangere Mascot,"3,970",-36.98091315999994,174.7817184390001
Mangere Mountain View,"4,160",-36.947959999999966,174.7894500000001
Mangere North,"2,990",-36.952113336000494,174.83802000679063
Mangere South,"3,840",-36.952113336000494,174.83802000679063
Mangere South East,"4,050",-36.952113336000494,174.83802000679063
Mangere West,"4,680",-36.952113336000494,174.83802000679063
Manukau Central,960,-36.89045080130779,174.77496442672137
Manurewa Central,"4,050",-37.02089999999998,174.8959000000001
Manurewa East,"3,210",-37.02521346499998,174.90603708000003
Manurewa South,"4,480",-37.02290274499995,174.8869968470001
Massey Central,"3,720",-36.854559999999935,174.7628800000001
Massey East,"3,810",-36.82819999999998,174.6201900000001
Massey Road North,"3,540",-36.956761762740804,174.8341375914426
Massey Road South,"1,850",-36.956761762740804,174.8341375914426
Massey Road West,"4,060",-36.956761762740804,174.8341375914426
Massey Royal Road West,"3,250",-36.83267287977774,174.62675668900272
Massey South,"4,880",-36.956761762740804,174.8341375914426
Massey West,"1,740",-36.83819999999997,174.6001900000001
Maungawhau,"3,180",-36.876939999999934,174.76134000000002
McLaren Park,"4,740",-36.88819999999998,174.6101900000001
Meadowbank East,"2,700",-36.87140065113846,174.82304061110614
Meadowbank West,"2,890",-36.87140065113846,174.82304061110614
Mellons Bay,"4,220",-36.878199999999936,174.92019000000005
Middlemore,20,-36.96620880221493,174.84472997194283
Milford Central,"1,970",-36.77030705782508,174.76757931565203
Milford West,"3,290",-36.77030705782508,174.76757931565203
Mission Bay,"4,600",-38.898229999999955,175.9302100000001
Mission Heights North,"3,720",-36.95824668167835,174.93151906177582
Mission Heights South,"3,420",-36.95824668167835,174.93151906177582
Morningside (Auckland),"4,230",-36.868199999999945,174.7301900000001
Mount Albert Central,"4,040",-36.888667367154675,174.72238120599275
Mount Albert North,"4,270",-36.888667367154675,174.72238120599275
Mount Albert South,"2,580",-36.888667367154675,174.72238120599275
Mount Albert West,"2,810",-36.888667367154675,174.72238120599275
Mount Eden East,"3,060",-36.86520496935826,174.76066007966205
Mount Eden North,"3,750",-36.86520496935826,174.76066007966205
Mount Eden North East,"1,300",-36.86520496935826,174.76066007966205
Mount Eden South,"4,100",-36.86520496935826,174.76066007966205
Mount Eden West,"3,490",-36.86520496935826,174.76066007966205
Mount Roskill Central North,"3,600",-36.920847367999954,174.73361844200008
Mount Roskill Central South,"2,570",-36.920847367999954,174.73361844200008
Mount Roskill North,"4,100",-36.90665124525365,174.7388124403787
Mount Roskill South,"3,380",-36.90665124525365,174.7388124403787
Mount Roskill White Swan,"4,990",-36.920847367999954,174.73361844200008
Mount St John,"3,670",-36.878199999999936,174.78019000000006
Mount Wellington Central,"5,420",-36.906808501921915,174.83982833939652
Mount Wellington East,"3,010",-36.906808501921915,174.83982833939652
Mount Wellington Ferndale,"4,560",-36.91279811499993,174.8399007710001
Mount Wellington Industrial,40,-36.91279811499993,174.8399007710001
Mount Wellington North East,"2,160",-36.906808501921915,174.83982833939652
Mount Wellington North West,"3,180",-36.906808501921915,174.83982833939652
Mount Wellington South East,"3,130",-36.906808501921915,174.83982833939652
Mount Wellington South West,"2,700",-36.906808501921915,174.83982833939652
Mount Wellington West,"3,180",-36.906808501921915,174.83982833939652
Murrays Bay East,"2,260",-36.731651545999966,174.7463499580001
Murrays Bay West,"2,780",-36.731651545999966,174.7463499580001
Narrow Neck,"4,310",-36.81655781099994,174.7998891750001
New Lynn Central,610,-36.850589999999954,174.7655000000001
New Lynn Central South,"3,020",-36.912889262999954,174.6788625920001
New Lynn North,"3,730",-36.912889262999954,174.6788625920001
New Lynn North West,"3,680",-36.912889262999954,174.6788625920001
New Lynn Seabrook,"3,130",-36.912889262999954,174.6788625920001
New Lynn South,"5,070",-36.912889262999954,174.6788625920001
Newmarket,"4,290",-36.86741022899997,174.77638470500005
New Windsor North,"3,530",-36.90114458477358,174.70342742261445
New Windsor South,"4,820",-36.90114458477358,174.70342742261445
Northcote Central,"2,610",-36.79819999999995,174.7301900000001
Northcote Point,"3,370",-36.81736622599993,174.74633203200005
Northcote South,"2,750",-36.79124092296972,174.74898505431676
Northcote Tuff Crater,"2,360",-36.803248792999966,174.74747528500006
Northcross,"3,470",-36.710220937999964,174.72765288300002
North Harbour,830,-36.77387999999996,174.73896000000002
Northpark North,"3,080",-36.91609635070445,174.92564891865027
Northpark South,"2,280",-36.91609635070445,174.92564891865027
Onehunga Central,"3,510",-36.92017528471823,174.78498577308937
Onehunga North,"4,070",-36.92017528471823,174.78498577308937
Onehunga-Te Papapa Industrial,"1,110",-36.918199999999956,174.80019000000004
Onehunga West,"4,090",-36.92017528471823,174.78498577308937
One Tree Hill,"4,800",-36.90461324399996,174.78918725100004
Opaheke,"3,060",-37.08851177099996,174.97463467400007
Orakei East,"3,040",-36.86123142651979,174.8126724388473
Orakei West,"2,920",-36.86123142651979,174.8126724388473
Oranga,"3,380",-36.908199999999965,174.79019000000005
Ormiston East,"2,470",-36.96183109697076,174.89156532306023
Ormiston North,"2,520",-36.96183109697076,174.89156532306023
Ormiston South,"6,720",-36.96183109697076,174.89156532306023
Otahuhu Central,"1,840",-36.94383713999997,174.84538839700008
Otahuhu East,"2,620",-36.94383713999997,174.84538839700008
Otahuhu Industrial,110,-36.94383713999997,174.84538839700008
Otahuhu North,"4,280",-36.94383713999997,174.84538839700008
Otahuhu South,"3,960",-36.94383713999997,174.84538839700008
Otahuhu South West,"4,190",-36.94383713999997,174.84538839700008
Otara Central,"2,920",-36.95600918837258,174.8714083118364
Otara East,"4,320",-36.95600918837258,174.8714083118364
Otara South,"4,170",-36.95600918837258,174.8714083118364
Otara West,"3,620",-36.95600918837258,174.8714083118364
Oteha East,"3,450",-36.71968318099994,174.71923591100006
Oteha West,"2,150",-36.71968318099994,174.71923591100006
Owairaka East,"2,170",-36.8950603155364,174.72155911557084
Owairaka West,"3,900",-36.8950603155364,174.72155911557084
Pahurehure,"3,470",-37.05819999999994,174.92019000000005
Pakuranga Central,"3,730",-36.911995088799884,174.8579384295014
Pakuranga Heights East,"3,320",-36.911995088799884,174.8579384295014
Pakuranga Heights North West,"3,000",-36.91606354099997,174.886254064
Pakuranga Heights South West,"3,770",-36.91606354099997,174.886254064
Pakuranga West,"4,760",-36.911995088799884,174.8579384295014
Panmure East,"3,780",-36.907995196280126,174.85802464140596
Panmure Glen Innes Industrial,370,-36.87394120099998,174.86095625600012
Panmure West,270,-36.907995196280126,174.85802464140596
Papakura Central,"3,540",-37.059039247999976,174.9480973750001
Papakura East,"3,480",-37.059039247999976,174.9480973750001
Papakura Industrial,330,-37.059039247999976,174.9480973750001
Papakura Kelvin,"5,030",-37.059039247999976,174.9480973750001
Papakura Massey Park,"3,130",-37.059039247999976,174.9480973750001
Papakura North,"4,690",-37.059039247999976,174.9480973750001
Papakura North East,"3,210",-37.059039247999976,174.9480973750001
Papakura West,"1,880",-37.059039247999976,174.9480973750001
Papatoetoe Central,"5,790",-36.97437999999994,174.86395000000005
Papatoetoe East,"4,860",-36.97691901299993,174.8553790620001
Papatoetoe North,"5,470",-36.971119999999985,174.83517000000006
Papatoetoe South,"4,440",-36.98885999999993,174.85257000000001
Papatoetoe South West,"4,150",-36.97691901299993,174.8553790620001
Papatoetoe West,"5,380",-36.97691901299993,174.8553790620001
Parnell East,"3,510",-36.863749975740795,174.78014008364647
Parnell West,"4,490",-36.863749975740795,174.78014008364647
Penrose,910,-36.918183332999945,174.81764964900003
Pinehill,"4,800",-36.731440824999936,174.72356648000004
Point Chevalier East,"4,820",-36.861288062802586,174.70341367374013
Point Chevalier West,"4,090",-36.861288062802586,174.70341367374013
Point England,"5,340",-36.883957201999976,174.86470353800007
Ponsonby East,"3,490",-36.85807013468013,174.74973850684034
Ponsonby West,"2,430",-36.85807013468013,174.74973850684034
Puhinui East,"2,970",-37.001338636052424,174.8039254509777
Puhinui North,"4,260",-37.001338636052424,174.8039254509777
Puhinui South,"2,780",-37.001338636052424,174.8039254509777
Quay Street-Customs Street,"2,490",-36.84471976310393,174.7668201531563
Queen Street,"2,480",-36.85062999999997,174.76544
Queen Street South West,"1,970",-36.849061868562686,174.76530436198715
Randwick Park East,"2,770",-37.02319619677954,174.915946764907
Randwick Park West,"3,940",-37.02319619677954,174.915946764907
Ranui Domain,"3,790",-36.86647999999997,174.60068000000012
Ranui North,"4,380",-36.870093235824065,174.59976922467678
Ranui South East,"3,230",-36.870093235824065,174.59976922467678
Ranui South West,"2,940",-36.870093235824065,174.59976922467678
Redcastle,"2,620",-36.9452675426028,174.90565901427703
Red Hill,"2,990",-37.07137923499994,174.9748590060001
Remuera Abbotts Park,"3,990",-36.88764999999995,174.81712000000005
Remuera East,"2,830",-36.86995497293303,174.77771507332926
Remuera North,"3,710",-36.86995497293303,174.77771507332926
Remuera South,"4,110",-36.86995497293303,174.77771507332926
Remuera Waiata,"2,890",-36.87740424799995,174.80549186300004
Remuera Waiatarua,"2,530",-36.93734850199996,174.56949249700006
Remuera Waitaramoa,"4,110",-36.87740424799995,174.80549186300004
Remuera West,"2,950",-36.86995497293303,174.77771507332926
Rongomai East,"2,430",-36.96895608894589,174.88850607507874
Rongomai West,"2,640",-36.96895608894589,174.88850607507874
Rosebank Peninsula,40,-36.88857999999993,174.6853900000001
Rosehill,"4,350",-37.085865480999985,174.93608830200003
Rothesay Bay,"3,090",-36.72416311499995,174.74649512200006
Rowandale East,"4,270",-37.023549175404554,174.874179568145
Rowandale West,"3,780",-37.023549175404554,174.874179568145
Royal Heights North,"3,870",-36.87703554253137,174.74342091048524
Royal Heights South,"4,050",-36.87703554253137,174.74342091048524
Royal Oak East,"3,030",-36.91065336899993,174.77232995700012
Royal Oak West,"2,810",-36.91065336899993,174.77232995700012
Saint Heliers North,"4,160",-36.849999999999966,174.8666700000001
Saint Heliers South,"4,270",-36.849999999999966,174.8666700000001
Saint Heliers West,"3,640",-36.849999999999966,174.8666700000001
Saint Johns East,"3,170",-36.870685225746456,174.84543615016392
Saint Johns West,"3,200",-36.870685225746456,174.84543615016392
Saint Marys Bay,"2,270",-36.83819999999997,174.7401900000001
Sandringham Central,"2,650",-36.87181666135591,174.7470064024133
Sandringham East,"3,670",-36.87181666135591,174.7470064024133
Sandringham North,"4,210",-36.87181666135591,174.7470064024133
Sandringham West,"2,490",-36.87181666135591,174.7470064024133
Schnapper Rock,"4,260",-36.75616953699995,174.68685158100004
Shelly Park,"2,970",-36.90831999999995,174.94513000000006
Shortland Street,"1,970",-36.84693078318344,174.7682227725336
Somerville,"4,760",-36.913783828999954,174.93369916200004
Stanley Point,"2,040",-36.82667600999997,174.7840526870001
St Lukes,"2,570",-36.86840516984741,174.7257773934394
Stonefields East,"2,200",-36.88544658820254,174.8457034656895
Stonefields West,"2,150",-36.88544658820254,174.8457034656895
Summerland North,"2,730",-36.873690235276115,174.61096725260265
Summerland South,"3,370",-36.873690235276115,174.61096725260265
Sunnyhills East,"3,710",-36.901519716999985,174.88589279000007
Sunnyhills West-Pakuranga North,"3,640",-36.901519716999985,174.88589279000007
Sunnynook North,"3,080",-36.75388456467018,174.74436536901212
Sunnynook South,"2,920",-36.75388456467018,174.74436536901212
Sunnyvale East,"5,230",-36.887509064018495,174.79150342538202
Sunnyvale West-Parrs Park,"2,780",-36.898464967999985,174.63652740600003
Sutton Park,"4,150",-36.986275822876344,174.99938036610817
Swanson,"2,750",-36.873783764999985,174.5694064050001
Sylvia Park,140,-36.91397999999998,174.84059000000002
Symonds Street East,"2,210",-36.862802763387286,174.76123789107712
Symonds Street North West,"3,590",-36.862802763387286,174.76123789107712
Symonds Street West,"3,400",-36.862802763387286,174.76123789107712
Takanini Central,"1,210",-37.04819999999995,174.90019000000007
Takanini Industrial,30,-37.04819999999995,174.90019000000007
Takanini North,"2,720",-37.04819999999995,174.90019000000007
Takanini South,"6,480",-37.046869999999956,174.9247200000001
Takanini South East,"2,440",-37.04819999999995,174.90019000000007
Takanini West,"3,250",-37.04819999999995,174.90019000000007
Takapuna Central,"2,640",-36.788168722999956,174.76563256600002
Takapuna South,"1,520",-36.788168722999956,174.76563256600002
Takapuna West,"5,130",-36.788168722999956,174.76563256600002
Tamaki,"4,800",-36.88819999999998,174.8601900000001
Te Atatu Peninsula Central,"3,690",-36.84073928599997,174.64994216500008
Te Atatu Peninsula East,"2,990",-36.84073928599997,174.64994216500008
Te Atatu Peninsula North West,"3,510",-36.84073928599997,174.64994216500008
Te Atatu Peninsula West,"3,980",-36.84073928599997,174.64994216500008
Te Atatu South-Central,"4,620",-36.86956747599993,174.64734391800005
Te Atatu South-Edmonton,"4,020",-36.86956747599993,174.64734391800005
Te Atatu South-McLeod North,"3,710",-36.86956747599993,174.64734391800005
Te Atatu South-McLeod South,"4,100",-36.86956747599993,174.64734391800005
Te Papapa,"3,410",-36.918199999999956,174.80019000000004
The Gardens,"4,140",-37.00227371899996,174.9126798850001
The Strand,"1,400",-36.85085076558505,174.77519205967775
Three Kings East,"1,410",-36.90121390603071,174.75804235595774
Three Kings West,"2,460",-36.90121390603071,174.75804235595774
Titirangi South,"4,170",-36.95372999999995,174.65086000000008
Torbay,"4,600",-36.698189999999954,174.7501900000001
Totara Heights,"3,150",-37.00195255199998,174.90053395300004
Totara Vale North,"3,480",-36.760245151714706,174.7339035042901
Totara Vale South,"4,190",-36.760245151714706,174.7339035042901
Tuscany Heights,"1,760",-36.84371310698084,174.65367854898898
Unsworth Heights East,"3,920",-36.76300995599618,174.71613507471798
Unsworth Heights West,"2,450",-36.76300995599618,174.71613507471798
Victoria Park,"3,140",-36.84784999999994,174.75641000000007
Waiake,"4,090",-36.706590517999985,174.74919328300007
Waikowhai North,"3,700",-36.93081498672364,174.73777987506745
Waikowhai South,"2,210",-36.93081498672364,174.73777987506745
Waima-Woodlands Park,"2,750",-36.94819999999993,174.6201900000001
Wairau Valley,230,-36.77569448899993,174.7401804110001
Waterview,"3,720",-36.879466364999985,174.6993643950001
Wattle Downs East,"2,290",-36.8939930157754,174.6389419369293
Wattle Downs North,"2,680",-36.8939930157754,174.6389419369293
Wattle Downs West,"3,970",-36.8939930157754,174.6389419369293
Wesley East,"2,320",-36.879119399317865,174.72000826727717
Wesley South,70,-36.879119399317865,174.72000826727717
Wesley West,"3,690",-36.879119399317865,174.72000826727717
Western Heights,"4,790",-36.878199999999936,174.6101900000001
Westgate Central,40,-36.829077764214546,174.61589288646925
Westgate South,"2,320",-36.829077764214546,174.61589288646925
West Harbour Clearwater Cove,"4,550",-36.810491500345556,174.6430118174802
West Harbour Luckens Point,"2,780",-36.81830999999994,174.62926000000004
West Harbour West,"4,570",-36.822494598066115,174.63351298074446
Westlake,"3,110",-36.78499999999997,174.75250000000005
West Lynn,"3,360",-36.922616715375234,174.664698877447
Westmere North,"2,380",-36.85613675764566,174.71761092785712
Westmere South-Western Springs,"3,170",-36.86309576699995,174.7203523270001
Weymouth East,"4,240",-37.0333013593438,174.87076042228645
Weymouth North,"5,430",-37.0333013593438,174.87076042228645
Weymouth South,"3,850",-37.0333013593438,174.87076042228645
Whenuapai,"4,640",-36.78777999999994,174.63028000000008
Windsor Park,"1,770",-36.74313999999998,174.73727000000008
Wiri East,"5,010",-37.00608470699996,174.8495649470001
Wiri West,"1,310",-37.00608470699996,174.8495649470001
Wynyard-Viaduct,"1,170",-36.84131495274664,174.75997511053455
Auckland,"1,470,120",-36.84837877599995,174.76438177700004
