Ngaio North,Wellington,"2,300","2,390","2,390","2,540","2,620","2,640"
Ngaio South,Wellington,"2,850","2,960","3,100","3,180","3,140","3,100"
Normandale,Lower Hutt,"2,010","1,990","2,000","2,000","2,070","2,110"
Northland (Wellington city),Wellington,"3,240","3,200","3,410","3,470","3,710","3,770"
Onepoto,Porirua,"1,970","1,940","1,920","1,870","1,970","2,010"
Onslow,Wellington,"1,290","1,310","1,420","1,750","1,880","1,910"
Oriental Bay,Wellington,"1,410","1,410","1,490","1,430","1,480","1,490"
Owhiro Bay,Wellington,"1,460","1,640","1,910","1,950","2,070","2,090"
Papakowhai,Porirua,"2,140","2,240","2,370","2,360","2,350","2,350"
Paparangi,Wellington,"2,610","2,810","2,780","2,850","2,990","3,050"
Paremata,Porirua,"2,340","2,340","2,370","2,450","2,550","2,580"
Petone Central,Lower Hutt,940,880,920,940,"1,000","1,070"
Petone East,Lower Hutt,"3,430","3,550","3,410","3,380","4,050","4,180"
Petone Esplanade,Lower Hutt,"2,540","2,530","2,450","2,550","2,750","2,830"
Pinehaven,Upper Hutt,"2,020","1,920","1,890","1,940","2,040","2,070"
Pipitea-Kaiwharawhara,Wellington,160,270,620,880,"1,010","1,040"
Plimmerton,Porirua,"2,090","2,120","2,120","2,180","2,200","2,190"
Poets Block,Upper Hutt,"2,320","2,380","2,310","2,320","2,570","2,620"
Porirua Central,Porirua,430,290,380,450,280,350
Porirua East,Porirua,"2,180","2,190","2,250","2,170","2,380","2,420"
Postgate,Porirua,"2,530","2,470","2,500","2,590","2,860","2,950"
Pukerua Bay,Porirua,"1,700","1,750","1,770","1,970","2,040","2,070"
Ranui Heights,Porirua,"1,250","1,320","1,410","1,400","1,370","1,380"
Riverstone Terraces,Upper Hutt,0,80,680,"1,450","1,850","1,930"
Rongotai,Wellington,60,70,60,60,50,40
Roseneath,Wellington,"1,700","1,610","1,760","1,790","1,860","1,880"
Seatoun,Wellington,"2,050","2,070","2,230","2,300","2,410","2,420"
Silverstream,Upper Hutt,"3,310","3,440","3,420","3,360","3,630","3,680"
Southgate,Wellington,"1,170","1,190","1,210","1,220","1,200","1,190"
Stokes Valley Central,Lower Hutt,"2,120","2,100","2,060","2,130","2,190","2,240"
Stokes Valley North,Lower Hutt,"3,270","3,240","3,290","3,430","3,550","3,550"
Strathmore (Wellington city),Wellington,"3,650","3,810","3,960","3,830","3,940","3,960"
Taita North,Lower Hutt,"2,760","2,980","3,150","2,660","3,240","3,330"
Taita South,Lower Hutt,"2,920","2,890","3,170","3,030","3,210","3,290"
Takapu-Horokiwi,Wellington,200,250,270,260,280,290
Tawa Central,Wellington,"2,330","2,400","2,550","2,680","2,740","2,770"
Tawa North,Wellington,"3,010","3,060","3,190","3,100","3,330","3,390"
Tawa South,Wellington,"3,460","3,420","3,490","3,410","3,510","3,530"
Te Marua,Upper Hutt,870,870,950,990,"1,010","1,020"
Thorndon,Wellington,"2,730","3,100","3,630","3,810","4,270","4,320"
Tirohanga,Lower Hutt,930,"1,090","1,230","1,210","1,320","1,340"
Titahi Bay North,Porirua,"2,400","2,470","2,540","2,560","2,800","2,900"
Titahi Bay South,Porirua,"3,390","3,250","3,400","3,700","3,910","4,010"
Totara Park,Upper Hutt,"3,120","2,970","2,940","2,970","2,990","3,000"
Towai,Lower Hutt,0,0,0,0,0,0
Trentham North,Upper Hutt,"2,590","2,750","2,860","3,010","3,190","3,360"
Trentham South,Upper Hutt,"1,050",790,"1,210","1,310","1,860","2,540"
Upper Hutt Central,Upper Hutt,430,390,420,530,640,690
Vivian East,Wellington,430,700,"1,630","2,300","2,550","2,740"
Vivian West,Wellington,"1,300","1,980","2,320","2,920","3,760","3,890"
Wadestown,Wellington,"3,450","3,480","3,700","3,670","3,870","3,910"
Wainuiomata Central,Lower Hutt,"1,710","1,700","1,690","1,720","1,860","1,920"
Wainuiomata West,Lower Hutt,"3,530","3,500","3,480","3,530","3,700","3,820"
Waitangirua,Porirua,"4,330","4,490","4,290","4,190","4,630","4,730"
Waiwhetu,Lower Hutt,"3,700","3,720","4,100","4,080","4,500","4,740"
Wallaceville,Upper Hutt,"2,250","2,210","2,310","2,310","2,470","2,540"
Waterloo East,Lower Hutt,"2,990","2,980","3,080","3,090","3,200","3,250"
Waterloo West,Lower Hutt,"2,200","2,240","2,230","2,200","2,370","2,440"
Wellington Botanic Gardens,Wellington,"1,100","1,060","1,160","1,150","1,210","1,200"
Wellington Central,Wellington,770,"1,170","2,120","2,990","3,270","3,320"
Wellington University,Wellington,"1,040","1,080","1,230","1,550","1,610","1,610"
Whitby,Porirua,"2,850","2,970","3,020","3,020","3,110","3,150"
Wilton,Wellington,"2,010","1,940","2,120","2,110","2,260","2,300"
Woburn,Lower Hutt,"1,800","1,790","1,790","1,740","1,830","1,850"
Woodridge,Wellington,350,720,"1,020","1,320","1,680","1,840"
